node,to,value
66,"""0xF245F01DF105b5fA0432d4646757D991FF5b77f5""","""0x579a814e10a740000"""
67,"""0x2Be2989516DfCdAf853C2852CAF72c0e4f8B0839""","""0x579a814e10a740000"""
68,"""0x0BD401462d14dbB322a61DEbAc65d4870414B1A2""","""0x579a814e10a740000"""
69,"""0xD6e9D17c337D1d5D690B454A9dA3F1ca25d85990""","""0x579a814e10a740000"""
70,"""0xf6c08d5ACbcc02cDb6F786B35129AEFDA7c781Fb""","""0x579a814e10a740000"""
71,"""0x166Cc795Baa4761e848C38EB13710C4336B5cb07""","""0x579a814e10a740000"""
72,"""0xca93a1284A009627081551aE1447a4F5c7Ad1048""","""0x579a814e10a740000"""
73,"""0xB32bC40f7Eaba07a5a4066A385255dc0Fe1F87FC""","""0x579a814e10a740000"""
74,"""0x95b4C3D77b4637dd8696d4485C39584d070241A9""","""0x579a814e10a740000"""
75,"""0x22E77b4f962f25e929d51e25E6af776490152194""","""0x579a814e10a740000"""
76,"""0xcfA5d107F8BBb8B3918E76eAe1EB8d5ff6Ef868c""","""0x579a814e10a740000"""
77,"""0xbF9bABc10FA5DF9Bad80B1447762FED87Fd28d94""","""0x579a814e10a740000"""
78,"""0xb7274b7bbd15a4D8108bd75C16ae4c731F521984""","""0x579a814e10a740000"""
79,"""0xE04D9b4ABdd690602457391320107DeD34491D0c""","""0x579a814e10a740000"""
80,"""0xDE760eA612dD56dF380067fAF72A345e61f2C5Ab""","""0x579a814e10a740000"""
81,"""0x67C7FfC88813c42eea28dffEa972c02Fa73C27E1""","""0x579a814e10a740000"""
82,"""0x0E544A2F155b0d40Ed842FC411efb4202926B254""","""0x579a814e10a740000"""
83,"""0x7d92Abd7656B00B8Dd52325A253C37fb2d6Cb60E""","""0x579a814e10a740000"""
84,"""0xAEfc2B00BA31db7E923b21957e6073a3e41Ab5F3""","""0x579a814e10a740000"""
85,"""0x982c709d61d93B851Dd2B010dc2BeC38775689d6""","""0x579a814e10a740000"""
86,"""0xbFaDe2C271120d62946dCbb5840B8b863eAe475d""","""0x579a814e10a740000"""
87,"""0x09160FE97f5E2bAb7C0de2DCEF79456BE3b736A5""","""0x579a814e10a740000"""
